번호,개방서비스명,개방서비스ID,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(X),좌표정보(Y),문화체육업종명,문화사업자구분명,총층수,주변환경명,제작취급품목내용,시설면적,지상층수,지하층수,건물용도명,통로너비,조명시설조도,노래방실수,청소년실수,비상계단여부,비상구여부,자동환기여부,청소년실여부,특수조명여부,방음시설여부,비디오재생기명,조명시설유무,음향시설여부,편의시설여부,소방시설여부,총게임기수,기존게임업외업종명,제공게임물명,공연장형태구분명,품목명,최초등록시점,지역구분명
1,영화상영관,03_13_02_P,3000000,CDFF4220002010000001,20100415,,03,폐업,03,폐업,,,,,3210-3358,,,서울특별시 종로구 신문로2가 1-153번지 2층 ,"서울특별시 종로구 경희궁1길 1  (신문로2가,2층)",,독립영화전용관 시네마루,20110516090539,I,2018-08-31 23:59:59.0,,197428.923002637    ,452041.177877529    ,영화상영관,,4,,,,1,3,,,,,,,,,,,,,,,,,,,,영화관,,20100415,
2,영화상영관,03_13_02_P,3000000,CDFF4220002008000001,20081111,,03,폐업,03,폐업,20151201,,,,730-3200,,,서울특별시 종로구 소격동 144-2번지 (지하1층) ,"서울특별시 종로구 율곡로3길 87 (소격동,(지하1층))",,씨네코드 선재,20151202165040,I,2018-08-31 23:59:59.0,,198326.378176607    ,453014.059924892    ,영화상영관,영화상영관,6,,,,3,3,근린생활시설,1,,,,,,,,,,,,,,,,,,영화관,,20081111,일반주거지역
3,영화상영관,03_13_02_P,3000000,CDFF4220002006000004,20061227,,03,폐업,03,폐업,20100409,,,,3210-3358,,110062,서울특별시 종로구 신문로2가 1-153번지 2층 ,"서울특별시 종로구 경희궁1길 1  (신문로2가,2층)",,미로스페이스,20100415122510,I,2018-08-31 23:59:59.0,,197428.923002637    ,452041.177877529    ,영화상영관,영화상영관,,,,,3,1,근린생활시설,,,,,,,,,,,,,,,,,,,영화관,,20061227,근린상업지역
4,영화상영관,03_13_02_P,3000000,CDFF4220002006000003,20060925,,01,영업/정상,13,영업중,,,,,3674-6000,,,서울특별시 종로구 묘동 56번지 단성사 지하2층 ,"서울특별시 종로구 돈화문로 26  (묘동,단성사 지하2층)",,아산엠인터내셔널 단성사 3관,20100914161927,I,2018-08-31 23:59:59.0,,199269.115470782    ,452076.225584316    ,영화상영관,영화상영관,,,,,,,,,,,,,,,,,,,,,,,,,,영화관,,20060925,
5,영화상영관,03_13_02_P,3000000,CDFF4220002006000002,20060925,,01,영업/정상,13,영업중,,,,,3674-6000,,,서울특별시 종로구 묘동 56번지 단성사 지하2층 ,"서울특별시 종로구 돈화문로 26  (묘동,단성사 지하2층)",,아산엠인터내셔널 단성사 2관,20100914161905,I,2018-08-31 23:59:59.0,,199269.115470782    ,452076.225584316    ,영화상영관,영화상영관,,,,,,,,,,,,,,,,,,,,,,,,,,영화관,,20060925,
6,영화상영관,03_13_02_P,3000000,CDFF4220002003000025,20030212,,03,폐업,03,폐업,,,,,3676-8400,,110524,서울특별시 종로구 명륜4가 113-1번지 ,서울특별시 종로구 대학로11길 23  (명륜4가),,씨네유극장 2관,20090414134932,I,2018-08-31 23:59:59.0,,199972.881431778    ,453308.674806807    ,영화상영관,영화상영관,,,,,,,,,,,,,,,,,,,,,,,,,,영화관,,20030212,
7,영화상영관,03_13_02_P,3000000,CDFF4220002003000024,20030212,,03,폐업,03,폐업,,,,,3676-8400,,110524,서울특별시 종로구 명륜4가 113-1번지 ,서울특별시 종로구 대학로11길 23  (명륜4가),,씨네유극장 1관,20090414134947,I,2018-08-31 23:59:59.0,,199972.881431778    ,453308.674806807    ,영화상영관,영화상영관,,,,,,,,,,,,,,,,,,,,,,,,,,영화관,,20030212,
8,영화상영관,03_13_02_P,3000000,CDFF4220002003000022,20030212,,01,영업/정상,13,영업중,,,,,070-8145-3128,,,서울특별시 종로구 신문로1가 226번지 흥국생명빌딩 지하2층 ,"서울특별시 종로구 새문안로 68 (신문로1가,흥국생명빌딩 지하2층)",,씨네큐브광화문 2관,20181102155051,U,2018-11-12 04:00:00.0,,197482.205329945    ,451938.30792481     ,영화상영관,영화상영관,,,,,,,,,,,,,,,,,,,,,,,,,,영화관,,20030212,
9,영화상영관,03_13_02_P,3000000,CDFF4220002003000021,20030212,,01,영업/정상,13,영업중,,,,,070-8145-3128,,,서울특별시 종로구 신문로1가 226번지 흥국생명빌딩 지하2층 ,"서울특별시 종로구 새문안로 68 (신문로1가,흥국생명빌딩 지하2층)",,씨네큐브광화문 1관,20181102154929,U,2018-11-12 04:00:00.0,,197482.205329945    ,451938.30792481     ,영화상영관,영화상영관,,,,,,,,,,,,,,,,,,,,,,,,,,영화관,,20030212,
10,영화상영관,03_13_02_P,3000000,CDFF4220002003000020,20030212,,03,폐업,03,폐업,20120727,,,,766-3390,,,서울특별시 종로구 동숭동 1-5번지 동숭아트센터 1층 ,"서울특별시 종로구 동숭길 122  (동숭동,동숭아트센터 1층)",,하이퍼텍나다,20120730093151,I,2018-08-31 23:59:59.0,,200257.115683163    ,453485.12004217     ,영화상영관,영화상영관,,,,,,,,,,,,,,,,,,,,,,,,,,영화관,,20030212,
11,영화상영관,03_13_02_P,3000000,CDFF4220002003000019,20030212,,03,폐업,03,폐업,20060703,,,,2285-2096,,110111,서울특별시 종로구 관철동 33-1번지 ,서울특별시 종로구 삼일대로 386  (관철동),,시네코아극장 5관,20060704100205,I,2018-08-31 23:59:59.0,,198883.495161441    ,451852.440739439    ,영화상영관,영화상영관,,,,,,,,,,,,,,,,,,,,,,,,,,영화관,,20030212,
12,영화상영관,03_13_02_P,3000000,CDFF4220002003000018,20030212,,03,폐업,03,폐업,20070913,,,,2285-2096,,110111,서울특별시 종로구 관철동 33-1번지 ,서울특별시 종로구 삼일대로 386  (관철동),,시네코아극장 4관,20070914155802,I,2018-08-31 23:59:59.0,,198883.495161441    ,451852.440739439    ,영화상영관,영화상영관,,,,,,,,,,,,,,,,,,,,,,,,,,영화관,,20030212,
13,영화상영관,03_13_02_P,3000000,CDFF4220002003000017,20030212,,03,폐업,03,폐업,20071022,,,,2285-2096,,110111,서울특별시 종로구 관철동 33-1번지 ,서울특별시 종로구 삼일대로 386  (관철동),,스폰지하우스2관,20071022163057,I,2018-08-31 23:59:59.0,,198883.495161441    ,451852.440739439    ,영화상영관,영화상영관,,,,,,,,,,,,,,,,,,,,,,,,,,영화관,,20030212,
14,영화상영관,03_13_02_P,3000000,CDFF4220002003000016,20030212,,03,폐업,03,폐업,20071022,,,,2285-2096,,110111,서울특별시 종로구 관철동 33-1번지 ,서울특별시 종로구 삼일대로 386  (관철동),,스폰지하우스1관,20071022175457,I,2018-08-31 23:59:59.0,,198883.495161441    ,451852.440739439    ,영화상영관,영화상영관,,,,,,,,,,,,,,,,,,,,,,,,,,영화관,,20030212,
15,영화상영관,03_13_02_P,3000000,CDFF4220002003000015,20030212,,03,폐업,03,폐업,20050927,,,,2285-2096,,110111,서울특별시 종로구 관철동 33-1번지 ,서울특별시 종로구 삼일대로 386  (관철동),,시네코아극장 1관,20050929093441,I,2018-08-31 23:59:59.0,,198883.495161441    ,451852.440739439    ,영화상영관,영화상영관,,,,,,,,,,,,,,,,,,,,,,,,,,영화관,,20030212,
