측정일시    ,측정소명,이산화질소농도(ppm),오존농도(ppm),이산화탄소농도(ppm),아황산가스(ppm),미세먼지(㎍/㎥),초미세먼지(㎍/㎥)
19870101,광진구 ,0.007       ,0.003    ,1.5         ,          ,         ,
19870101,구로구 ,            ,         ,            ,          ,         ,
19870101,도봉구 ,0.035       ,0.013    ,3.9         ,0.116     ,         ,
19870101,서대문구,0.033       ,         ,3.5         ,0.077     ,         ,
19870101,서초구 ,0.035       ,0.018    ,2.2         ,0.078     ,         ,
19870101,성동구 ,0.031       ,0.016    ,4           ,0.159     ,         ,
19870101,송파구 ,0.023       ,0.01     ,2           ,          ,         ,
19870101,용산구 ,0.014       ,0.009    ,2.6         ,0.078     ,         ,
19870102,광진구 ,0.006       ,0.004    ,2.2         ,          ,         ,
19870102,구로구 ,0.028       ,0.005    ,5.5         ,0.106     ,         ,
19870102,도봉구 ,0.035       ,0.011    ,5.7         ,0.143     ,         ,
19870102,서대문구,0.043       ,         ,4.3         ,0.067     ,         ,
19870102,서초구 ,0.039       ,0.015    ,2.8         ,0.09      ,         ,
19870102,성동구 ,0.03        ,0.01     ,5.1         ,0.176     ,         ,
19870102,송파구 ,0.024       ,0.007    ,2.6         ,          ,         ,
19870102,용산구 ,0.02        ,0.006    ,3.8         ,0.098     ,         ,
19870103,광진구 ,0.007       ,0.006    ,1.8         ,          ,         ,
19870103,구로구 ,0.02        ,0.011    ,4.8         ,0.116     ,         ,
19870103,도봉구 ,0.027       ,0.025    ,            ,0.09      ,         ,
19870103,서대문구,0.039       ,         ,2.9         ,0.063     ,         ,
19870103,서초구 ,0.028       ,0.049    ,1.3         ,0.041     ,         ,
19870103,성동구 ,0.027       ,0.042    ,3.2         ,0.134     ,         ,
19870103,송파구 ,0.021       ,0.015    ,1.3         ,          ,         ,
19870103,용산구 ,0.016       ,0.022    ,1.7         ,0.053     ,         ,
19870104,광진구 ,0.011       ,0.003    ,2.4         ,          ,         ,
19870104,구로구 ,            ,         ,            ,          ,         ,
19870104,도봉구 ,0.041       ,0.015    ,            ,0.14      ,         ,
19870104,서대문구,0.039       ,         ,3.7         ,0.075     ,         ,
19870104,서초구 ,0.054       ,0.016    ,2.8         ,0.126     ,         ,
19870104,성동구 ,0.041       ,0.016    ,5.5         ,0.231     ,         ,
19870104,송파구 ,0.025       ,0.016    ,2.3         ,          ,         ,
19870104,용산구 ,0.025       ,0.004    ,4.4         ,0.09      ,         ,
19870105,광진구 ,0.017       ,0        ,6.3         ,          ,         ,
19870105,구로구 ,0.044       ,0.004    ,2.7         ,0.219     ,         ,
