측정일시,측정소명,이산화질소농도(ppm),오존농도(ppm),이산화탄소농도(ppm),아황산가스(ppm),미세먼지(㎍/㎥),초미세먼지(㎍/㎥)
20100101,강남구,0.037,0.007,0.6,0.006,36,
20100101,강남대로,0.066,0.003,1,0.008,48,
20100101,강동구,0.027,0.011,0.3,0.008,29,
20100101,강변북로,0.037,0.005,0.6,0.005,34,
20100101,강북구,0.038,0.009,0.7,0.008,33,
20100101,강서구,0.037,0.007,0.5,0.008,34,
20100101,관악구,0.038,0.005,0.8,0.006,36,
20100101,광진구,0.029,0.012,0.5,0.006,32,
20100101,구로구,0.038,0.005,0.7,0.006,33,
20100101,금천구,0.029,0.007,0.6,0.005,33,
20100101,노원구,0.032,0.009,0.5,0.008,30,
20100101,도봉구,0.031,0.01,0.7,0.006,31,
20100101,도산대로,0.035,0.005,0.7,0.006,38,
20100101,동대문구,0.035,0.007,0.6,0.007,35,
20100101,동작구,0.038,0.008,0.6,0.006,32,
20100101,마포구,0.036,0.004,0.6,0.006,34,
20100101,서대문구,0.042,0.009,0.7,0.009,32,
20100101,서초구,0.033,0.005,0.6,0.006,32,
20100101,성동구,0.028,0.008,0.6,0.006,31,
20100101,성북구,0.04,0.005,0.7,0.006,33,
20100101,송파구,0.028,0.01,0.6,0.007,32,
20100101,신촌로,0.046,0.006,0.9,0.007,37,
20100101,양천구,0.037,0.009,0.8,0.008,36,
20100101,영등포구,0.039,0.006,0.6,0.01,31,
20100101,영등포로,0.049,0.005,0.7,0.007,40,
20100101,용산구,0.037,0.007,0.4,0.011,34,
20100101,은평구,0.035,0.01,1.1,0.007,29,
20100101,종로,0.05,0.005,0.5,0.008,41,
20100101,종로구,0.038,0.01,0.8,0.008,36,
20100101,중구,0.039,0.006,0.8,0.007,33,
20100101,중랑구,0.028,0.012,0.4,0.006,33,
20100101,천호대로,0.037,0.004,0.6,0.008,25,
20100101,청계천로,0.039,0.005,0.5,0.006,32,
20100101,한강대로,0.059,0.005,0.8,0.006,41,
20100101,홍릉로,0.043,0.007,0.7,0.005,37,
20100101,홍지문,0.041,0.006,0.7,0.007,34,
20100101,화랑로,0.046,0.004,0.8,0.006,42,
20100102,강남구,0.037,0.008,0.6,0.008,56,
20100102,강남대로,0.063,0.004,0.9,0.007,70,
20100102,강동구,0.028,0.012,0.4,0.01,45,
20100102,강변북로,0.04,0.006,0.7,0.006,53,
20100102,강북구,0.033,0.015,0.6,0.01,47,
20100102,강서구,0.034,0.008,0.5,0.008,53,
20100102,관악구,0.036,0.006,0.8,0.007,59,
20100102,광진구,0.029,0.014,0.6,0.007,45,
20100102,구로구,0.037,0.007,0.7,0.006,56,
20100102,금천구,0.03,0.01,0.6,0.006,56,
20100102,노원구,0.027,0.014,0.5,0.009,47,
20100102,도봉구,0.025,0.016,0.6,0.008,44,
20100102,도산대로,0.035,0.006,0.6,0.007,52,
20100102,동대문구,0.031,0.01,0.6,0.008,50,
20100102,동작구,0.038,0.009,0.6,0.007,57,
20100102,마포구,0.035,0.005,0.7,0.006,54,
20100102,서대문구,0.033,0.019,0.6,0.01,53,
20100102,서초구,0.031,0.008,0.6,0.007,55,
20100102,성동구,0.028,0.01,0.6,0.007,51,
20100102,성북구,0.035,0.008,0.7,0.006,42,
20100102,송파구,0.028,0.012,0.6,0.007,46,
20100102,신촌로,0.052,0.005,1.1,0.006,56,
20100102,양천구,0.038,0.009,0.8,0.009,62,
20100102,영등포구,0.037,0.007,0.7,0.008,53,
20100102,영등포로,0.049,0.005,0.7,0.009,64,
20100102,용산구,0.036,0.008,0.4,0.012,51,
20100102,은평구,0.028,0.017,1,0.009,47,
20100102,종로,0.041,0.006,0.5,0.008,57,
20100102,종로구,0.033,0.015,0.7,0.009,53,
20100102,중구,0.033,0.01,0.8,0.008,48,
20100102,중랑구,0.032,0.011,0.5,0.007,49,
20100102,천호대로,0.037,0.004,0.6,0.007,40,
20100102,청계천로,0.034,0.008,0.5,0.007,45,
20100102,한강대로,0.051,0.005,0.7,0.007,59,
20100102,홍릉로,0.043,0.008,0.8,0.006,49,
20100102,홍지문,0.038,0.008,0.7,0.008,48,
20100102,화랑로,0.046,0.006,0.8,0.007,59,
20100103,강남구,0.041,0.012,0.7,0.007,50,
20100103,강남대로,0.061,0.007,0.9,0.007,67,
20100103,강동구,0.034,0.012,0.5,0.01,42,
20100103,강변북로,0.044,0.009,0.8,0.005,51,
20100103,강북구,0.036,0.017,0.8,0.009,44,
20100103,강서구,0.029,0.019,0.5,0.008,49,
20100103,관악구,0.032,0.014,0.7,0.006,50,
20100103,광진구,0.032,0.016,0.6,0.007,46,
20100103,구로구,0.033,0.015,0.7,0.006,48,
20100103,금천구,0.026,0.018,0.6,0.005,45,
20100103,노원구,0.034,0.014,0.6,0.008,45,
20100103,도봉구,0.028,0.019,0.7,0.007,49,
20100103,도산대로,0.036,0.011,0.7,0.007,51,
20100103,동대문구,0.03,0.013,0.6,0.007,50,
20100103,동작구,0.037,0.016,0.6,0.006,44,
20100103,마포구,0.033,0.01,0.7,0.006,51,
20100103,서대문구,0.034,0.024,0.7,0.01,45,
20100103,서초구,0.033,0.012,0.6,0.007,49,
20100103,성동구,0.027,0.016,0.7,0.007,46,
20100103,성북구,0.036,0.012,0.7,0.006,46,
20100103,송파구,0.028,0.018,0.6,0.007,46,
20100103,신촌로,0.049,0.01,1,0.007,53,
20100103,양천구,0.032,0.021,0.8,0.008,50,
20100103,영등포구,0.034,0.017,0.6,0.01,48,
20100103,영등포로,0.044,0.013,0.6,0.007,54,
20100103,용산구,0.036,0.014,0.4,0.012,49,
20100103,은평구,0.028,0.021,0.9,0.009,47,
20100103,종로,0.033,0.011,0.4,0.008,50,
20100103,종로구,0.033,0.02,0.7,0.008,44,
20100103,중구,0.032,0.016,0.8,0.008,48,
20100103,중랑구,0.037,0.012,0.5,0.007,52,
20100103,천호대로,0.042,0.006,0.7,0.008,34,
20100103,청계천로,0.034,0.014,0.5,0.006,43,
20100103,한강대로,0.054,0.011,0.8,0.007,55,
20100103,홍릉로,0.043,0.013,0.8,0.006,47,
20100103,홍지문,0.034,0.014,0.6,0.008,43,
20100103,화랑로,0.049,0.008,0.9,0.006,60,
20100104,강남구,0.042,0.009,0.6,0.005,38,
20100104,강남대로,0.06,0.005,0.7,0.004,46,
20100104,강동구,0.03,0.014,0.3,0.007,32,
20100104,강변북로,0.04,0.008,0.6,0.003,38,
20100104,강북구,0.037,0.015,0.7,0.007,37,
20100104,강서구,0.035,0.014,0.4,0.006,37,
20100104,관악구,0.036,0.01,0.7,0.004,39,
20100104,광진구,0.032,0.015,0.6,0.004,34,
20100104,구로구,0.037,0.01,0.7,0.003,38,
20100104,금천구,0.028,0.013,0.5,0.003,38,
20100104,노원구,0.033,0.014,0.5,0.006,37,
20100104,도봉구,0.027,0.018,0.7,0.004,33,
20100104,도산대로,0.037,0.008,0.6,0.004,40,
20100104,동대문구,0.035,0.01,0.6,0.005,38,
20100104,동작구,0.037,0.015,0.6,0.004,39,
20100104,마포구,0.036,0.007,0.7,0.004,42,
20100104,서대문구,0.032,0.025,0.5,0.006,37,
20100104,서초구,0.033,0.011,0.6,0.004,37,
20100104,성동구,0.031,0.012,0.6,0.004,38,
20100104,성북구,0.037,0.011,0.7,0.004,34,
20100104,송파구,0.03,0.015,0.6,0.006,34,
20100104,신촌로,0.052,0.006,0.9,0.005,42,
20100104,양천구,0.039,0.012,0.8,0.007,43,
20100104,영등포구,0.04,0.011,0.6,0.005,37,
20100104,영등포로,0.051,0.007,0.6,0.006,47,
20100104,용산구,0.038,0.011,0.4,0.01,38,
20100104,은평구,0.032,0.018,0.9,0.006,35,
20100104,종로,0.044,0.007,0.5,0.006,43,
20100104,종로구,0.039,0.014,0.9,0.006,43,
20100104,중구,0.037,0.012,0.9,0.006,37,
20100104,중랑구,0.036,0.011,0.5,0.005,40,
20100104,천호대로,0.042,0.004,0.5,0.005,29,
20100104,청계천로,0.038,0.01,0.5,0.005,35,
20100104,한강대로,0.056,0.006,0.7,0.005,45,
20100104,홍릉로,0.046,0.01,0.7,0.005,38,
20100104,홍지문,0.04,0.009,0.6,0.006,39,
20100104,화랑로,0.048,0.008,0.7,0.004,47,
20100105,강남구,0.032,0.017,0.5,0.006,50,
20100105,강남대로,0.057,0.009,0.7,0.005,62,
20100105,강동구,0.026,0.02,0.3,0.008,38,
20100105,강변북로,0.035,0.014,0.6,0.004,47,
20100105,강북구,0.025,0.028,0.5,0.008,40,
20100105,강서구,0.03,0.019,0.4,0.007,54,
20100105,관악구,0.024,0.02,0.5,0.005,52,
20100105,광진구,0.021,0.028,0.4,0.006,48,
20100105,구로구,0.027,0.02,0.6,0.006,54,
20100105,금천구,0.021,0.024,0.4,0.004,45,
20100105,노원구,0.024,0.023,0.4,0.007,41,
20100105,도봉구,0.011,0.035,0.5,0.006,46,
20100105,도산대로,0.029,0.016,0.5,0.006,51,
20100105,동대문구,0.018,0.019,0.4,0.006,49,
20100105,동작구,0.028,0.025,0.5,0.006,48,
20100105,마포구,0.029,0.012,0.6,0.005,54,
20100105,서대문구,0.026,0.034,0.6,0.008,56,
20100105,서초구,0.027,0.018,0.5,0.006,51,
20100105,성동구,0.019,0.025,0.5,0.006,50,
20100105,성북구,0.024,0.022,0.5,0.005,44,
20100105,송파구,0.018,0.027,0.5,0.006,47,
20100105,신촌로,0.048,0.011,0.8,0.005,55,
20100105,양천구,0.029,0.024,0.7,0.008,53,
20100105,영등포구,0.035,0.019,0.6,0.008,52,
20100105,영등포로,0.041,0.015,0.6,0.006,53,
20100105,용산구,0.03,0.019,0.3,0.011,51,
20100105,은평구,0.023,0.029,0.9,0.007,48,
20100105,종로,0.022,0.015,0.4,0.006,49,
20100105,종로구,0.025,0.028,0.6,0.008,48,
20100105,중구,0.023,0.022,0.7,0.007,49,
20100105,중랑구,0.029,0.02,0.4,0.006,50,
